name,color,region,link,party,marker,factor_1,factor_2
Abbas Razvi,#733280,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/201-abbas-razvi,Radikale Venstre,B,1.7100623965676274,-1.3882489150848125
Ahmet Üzümcü,#5abe82,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/985-ahmet-uzumcu,Frie Grønne,Q,4.744493259076936,-0.20571331785389912
Aksel Rosager Johansen,#e6801a,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/878-aksel-rosager-johansen,Enhedslisten – De Rød-Grønne,Ø,5.199732529854158,1.8280007541486996
Alberte Rasmussen,#127b7f,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/170-alberte-rasmussen,Nye Borgerlige,D,-5.139978259375827,2.1565785646664883
Alex Ahrendtsen,#eac73e,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/628-alex-ahrendtsen,Dansk Folkeparti,O,-2.835724875518528,3.1547901122433326
Alex Vanopslagh,#3fb2be,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/321-alex-vanopslagh,Liberal Alliance,I,-3.9088174976642334,-2.004792125989746
Alexander Bruhn Skjøth,#e07ea8,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/676-alexander-bruhn-skjoeth,SF - Socialistisk Folkeparti,F,3.5458036159092323,-0.14169011257575065
Alexander Mikkelsen,#96b226,Nordjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/116-alexander-mikkelsen,Det Konservative Folkeparti,C,-3.672354035539334,-1.9766518881006898
Alexander Ryle,#3fb2be,Københavns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/344-alexander-ryle,Liberal Alliance,I,-2.469807335506714,-3.1259382936740674
Alexandra Sasha,#254264,Københavns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/988-alexandra-sasha,"Venstre, Danmarks Liberale Parti",V,-0.9953346971887436,-0.8529279914089531
Ali Khatib,#5abe82,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/1022-ali-khatib,Frie Grønne,Q,3.4336537355335692,0.9393724006514764
Allan Berg,#127b7f,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/184-allan-berg,Nye Borgerlige,D,-4.607602603360687,2.1284336039423257
Allan Bilgaard Beier,#96b226,Københavns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/55-allan-bilgaard-beier,Det Konservative Folkeparti,C,-4.044574754604107,-0.5851766937349517
Allon Hein Sørensen,#2b8738,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/1051-allon-hein-soerensen,Alternativet,Å,3.1296344674576737,-0.5530598681990179
Ammar Ali,#b48cd2,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/579-ammar-ali,Moderaterne,M,1.0166885386541775,-2.0275919594434857
Anastasia Valentin Rasmussen,#b48cd2,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/580-anastasia-valentin-rasmussen,Moderaterne,M,-0.37591234722682304,-1.4207869097445276
Anders Andreasen,#a82721,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/778-anders-andreasen,Socialdemokratiet,A,2.6256134189612004,1.1185109461170815
Anders Bo Larsen,#254264,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/1067-anders-bo-larsen,"Venstre, Danmarks Liberale Parti",V,-2.202567136821101,-0.8226146792405193
Anders Fausbøll,#254264,Københavns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/499-anders-fausboell,"Venstre, Danmarks Liberale Parti",V,-1.7606729087739548,-1.2572674502708994
Anders Højsted,#733280,Københavns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/202-anders-hoejsted,Radikale Venstre,B,2.2777297975699877,-2.757509469865502
Anders Johansson,#96b226,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/124-anders-johansson,Det Konservative Folkeparti,C,-3.8674702956314992,0.9197087563621514
Anders Kirkeby,#3fb2be,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/331-anders-kirkeby,Liberal Alliance,I,-3.078611865375474,-1.9541665860954427
Anders Krojgaard Lund,#96b226,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/104-anders-krojgaard-lund,Det Konservative Folkeparti,C,-4.785717331374946,-1.6499118638860086
Anders Kronborg,#a82721,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/761-anders-kronborg,Socialdemokratiet,A,0.09043849292248875,1.0444884319009595
Anders Krøyer,#96b226,Københavns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/59-anders-kroeyer,Det Konservative Folkeparti,C,-3.9717426966128015,-1.2603555308704815
